,ARKK_Vol,ARKK_Close,BITO_Vol,BITO_Close,QQQ_Vol,QQQ_Close,VTI_Vol,VTI_Close,JPST_Vol,JPST_Close,ETH_Daily_Volume,ETH_Close_Price_(USD),Bored_Ape_Vol,Bored_Ape_Avg_Sale_Price,Mutant_Ape_Vol,Mutant_Ape_Avg_Sale_Price,Sandbox_Vol,Sandbox_Avg_Sale_Price,ARKK_$_Vol,BITO_$_Vol,QQQ_$_Vol,VTI_$_Vol,JPST_$_Vol,ETH_$_Vol,Bored_Ape_$_Vol,Mutant_Ape_$_Vol,Sandbox_$_Vol
2021-09-08,6150523.0,121.24,,,30418427.0,380.83,2902562.0,232.68,1826392.0,50.715,28832469761.86,3424.24,17.0,190964.3228484706,140.0,21773.329788704974,78.0,2255.502002141026,745689408.52,,11584249554.41,675368126.16,92625470.28,98729296257351.48,3246393.488424,3048266.1704186965,175929.15616700004
2021-09-09,3557200.0,121.77,,,27459982.0,379.42,2633683.0,231.84,1950072.0,50.72,25699612398.67,3209.41,27.0,188106.20155185187,119.0,22532.472031917518,108.0,2792.9380380503976,433160244.0,,10418866370.44,610593066.72,98907651.84,82480593028415.47,5078867.441900001,2681364.1717981845,301637.30810944294
2021-09-10,3211353.0,120.46,,,37288749.0,376.5,3302457.0,230.05,2288716.0,50.71,21364045074.59,3266.43,49.0,169583.62592394042,112.0,21958.36205056729,60.0,2317.6296766553837,386839582.38,,14039213998.5,759730232.85,116060788.36,69784157752993.01,8309597.6702730805,2459336.5496635367,139057.780599323
2021-09-13,6435187.0,118.23,,,45890350.0,376.36,3232826.0,230.53,2686674.0,50.72,23042530261.95,3436.05,10.0,149049.22141999996,114.0,18928.95970668385,37.0,2385.777659708472,760832159.01,,17271292126.0,745263377.78,136268105.28,79175286106573.3,1490492.2141999996,2157901.406561959,88273.77340921346
2021-09-14,5006300.0,116.88,,,38873176.0,375.18,3016545.0,229.15,4085823.0,50.73,20247685288.29,3615.22,19.0,155826.8935671053,123.0,20385.437540568517,30.0,2231.5592266819635,585136344.0,,14584438171.68,691241286.75,207273800.79,73199836807931.77,2960710.9777750005,2507408.8174899276,66946.7768004589
2021-09-15,4412483.0,117.8,,,31050781.0,378.01,2531684.0,231.1,1679719.0,50.73,23647813180.93,3569.26,41.0,175368.31458575616,157.0,22061.255937801598,57.0,2669.656408897821,519790497.4,,11737505725.81,585072172.4,85212144.86999999,84405193674166.22,7190100.898016003,3463617.1822348507,152170.4153071758
2021-09-16,4670664.0,118.56,,,32691551.0,378.34,2490731.0,230.9,1358178.0,50.72,20533951078.93,3398.82,43.0,200425.18876074415,161.0,23470.54155434193,99.0,2617.4090604141425,553753923.84,,12368521405.339998,575109787.9,68886788.16,69791203606088.87,8618283.116711998,3778757.1902490505,259123.4969810001
2021-09-17,7402233.0,121.43,,,52313395.0,373.82,2961944.0,229.12,1914692.0,50.72,18039726625.15,3435.76,19.0,299797.8839947368,103.0,23929.283009434865,94.0,2691.3031351608715,898853153.19,,19555793318.9,678640609.28,97113178.24,61980171149625.375,5696159.795899999,2464716.149971791,252982.49470512194
2021-09-20,9487459.0,116.28,,,67517859.0,365.82,7383546.0,225.09,2799790.0,50.7,35016362238.5,2760.2,18.0,183834.89348677773,57.0,25277.06550956082,38.0,1959.0983688102588,1103201732.52,,24699383179.38,1661962369.14,141949353.0,96652163050707.69,3309028.082761999,1440792.7340449668,74445.73801478984
2021-09-21,4458835.0,117.1,,,38501039.0,366.09,4390961.0,225.05,1703780.0,50.72,28006798325.37,3078.88,16.0,197095.654529128,219.0,22612.81553481673,41.0,3004.958486243903,522129578.5,,14094845367.509998,988185773.0500001,86415721.6,86229571228015.19,3153530.472466048,4952206.602124864,123203.29793600002
2021-09-22,3575374.0,118.11,,,44140590.0,369.55,4100889.0,227.32,2133348.0,50.71,20950115651.26,3154.62,13.0,194823.10833846155,109.0,25427.028632921614,82.0,4360.5535228085155,422287423.14,,16312155034.5,932214087.48,108182077.08,66089653835777.81,2532700.4084,2771546.120988456,357565.3888702983
2021-09-23,3998561.0,119.33,,,39459122.0,372.91,3628479.0,230.08,2038306.0,50.71,28315290513.96,2930.86,16.0,191793.23172500002,116.0,22938.94221662332,381.0,3859.9397223274727,477148284.13,,14714701185.02,834840448.32,103362497.26,82988152355744.81,3068691.7076000003,2660917.2971283053,1470637.034206767
2021-09-24,4929481.0,117.13,,,30671009.0,373.33,2879058.0,229.55,1547843.0,50.715,22641763445.96,2925.34,22.0,183964.73768863635,77.0,24745.41905631494,166.0,4310.448500436291,577390109.53,,11450407789.97,660887763.9,78498857.745,66234856279004.625,4047224.2291499996,1905397.2673362503,715534.4510724244
2021-09-27,8026210.0,116.99,,,38162379.0,370.39,2813492.0,229.15,3298568.0,50.69,19387539083.81,2807.44,12.0,188131.77383750002,93.0,22103.424262582175,60.0,2970.4717230000006,938986307.9,,14134963557.81,644711691.8000001,167204411.92,54429352725451.555,2257581.28605,2055618.4564201422,178228.30338000003
2021-09-28,11858297.0,112.19,,,90070657.0,359.85,4915075.0,224.36,2890533.0,50.71,18413049200.24,2850.87,16.0,197412.31079375002,90.0,22442.148265933338,82.0,3758.059087215261,1330382340.43,,32411925921.45,1102746227.0,146578928.43,52493209573488.21,3158596.9727000003,2019793.3439340005,308160.8451516514
2021-09-29,8729728.0,109.75,,,53671853.0,359.36,4443485.0,224.45,3515017.0,50.725,20047778487.93,3000.83,15.0,199794.51188813333,95.0,23284.598192902256,74.0,3933.7764562390716,958087648.0,,19287517094.08,997340208.25,178299237.32500002,60159975119934.984,2996917.678322,2212036.8283257145,291099.4577616913
2021-09-30,8387866.0,110.51,,,56492511.0,357.73,4859119.0,222.0,2478465.0,50.73,25817211704.68,3310.63,24.0,341311.47020000004,85.0,22811.18680849375,50.0,4577.9686826,926943071.6600001,,20209065960.030003,1078724418.0,125732529.44999999,85471235585864.75,8191475.2848000005,1938950.8787219687,228898.43412999998
2021-10-01,5072477.0,111.16,,,50606474.0,360.1,4843851.0,224.71,4198749.0,50.7,22402829612.96,3389.48,20.0,214463.79826,70.0,22119.81618292214,102.0,3177.4349808953853,563856543.3199999,,18223391287.4,1088461758.21,212876574.3,75933942916535.66,4289275.9652,1548387.1328045498,324098.3680513293
2021-10-04,7305876.0,107.2,,,71136235.0,352.7,4820412.0,221.73,2859075.0,50.69,17466774669.66,3516.09,20.0,200841.63069180615,84.0,21842.465305670088,85.0,3363.197397694117,783189907.2,,25089750084.5,1068829952.76,144926511.75,61414751748244.83,4016832.6138361227,1834767.0856762873,285871.77880399994
2021-10-05,5229209.0,109.01,,,43632992.0,357.38,3491531.0,223.8,4230801.0,50.69,22671107945.24,3576.08,23.0,200562.51772695655,82.0,19957.268352653733,101.0,4111.90259970297,570036073.09,,15593558680.96,781404637.8000001,214459302.69,81073695700813.86,4612937.9077200005,1636496.004917606,415302.16257
