,Gas_Price_(Wei),ETH_Close_Price_(USD),Gas_Price_(USD)
2016-10-19,26727015004,12.0,0.0
2016-10-20,28388678071,12.09,0.0
2016-10-21,27327186756,12.09,0.0
2016-10-22,25568419660,11.98,0.0
2016-10-23,27189463354,11.85,0.0
2016-10-24,26738598194,11.34,0.0
2016-10-25,25467763116,11.5,0.0
2016-10-26,24766803093,11.39,0.0
2016-10-27,25335805631,11.01,0.0
2016-10-28,26393346615,10.39,0.0
2016-10-29,26931401011,11.21,0.0
2016-10-30,25710654068,10.93,0.0
2016-10-31,24958279875,10.71,0.0
2016-11-01,27306724366,10.8,0.0
2016-11-02,24483859111,10.9,0.0
2016-11-03,24961749448,11.11,0.0
2016-11-04,23953353775,11.04,0.0
2016-11-05,24196990421,10.88,0.0
2016-11-06,24064007293,10.87,0.0
2016-11-07,24556000429,10.84,0.0
2016-11-08,24358801328,10.67,0.0
2016-11-09,25674126403,10.56,0.0
2016-11-10,24703835063,10.29,0.0
2016-11-11,28889390493,9.881,0.0
2016-11-12,25243993965,10.11,0.0
2016-11-13,25168748733,9.977,0.0
2016-11-14,24969184273,10.19,0.0
2016-11-15,24586128040,10.02,0.0
2016-11-16,24746018974,9.935,0.0
2016-11-17,24334480804,9.434,0.0
2016-11-18,24779293462,9.618,0.0
2016-11-19,24367796634,9.536,0.0
2016-11-20,24297865025,9.57,0.0
2016-11-21,24827550548,9.839,0.0
2016-11-22,23329377849,9.738,0.0
2016-11-23,24571404785,9.22,0.0
2016-11-24,27981297065,9.373,0.0
2016-11-25,24440853301,9.272,0.0
2016-11-26,24641800522,8.909,0.0
2016-11-27,25256371561,8.734,0.0
2016-11-28,25726139305,8.178,0.0
2016-11-29,25163119754,8.598,0.0
2016-11-30,23375317675,8.437,0.0
2016-12-01,22785340768,7.651,0.0
2016-12-02,23095222285,7.901,0.0
2016-12-03,22832490174,7.544,0.0
2016-12-04,22644586389,6.694,0.0
2016-12-05,23613848731,7.612,0.0
2016-12-06,23636815655,8.354,0.0
2016-12-07,23374892164,8.298,0.0
