,ETH_Daily_Volume,ETH_Close_Price_(USD)
2018-07-12,3182916758.86,432.97
2018-07-13,2728866603.85,434.42
2018-07-14,2716578186.61,450.34
2018-07-15,3532646527.8,480.2
2018-07-16,4250165487.25,499.83
2018-07-17,4388857597.27,479.85
2018-07-18,3609643300.86,468.91
2018-07-19,3608027396.24,449.13
2018-07-20,2796845468.49,461.13
2018-07-21,2506045776.87,457.98
2018-07-22,2963342958.28,449.73
2018-07-23,3916628218.52,478.39
2018-07-24,3436521794.23,471.99
2018-07-25,2929205031.52,462.98
2018-07-26,2842243061.33,469.94
2018-07-27,3289376001.56,468.75
2018-07-28,3111324685.47,466.3
2018-07-29,3422265814.88,456.22
2018-07-30,3025421720.04,431.71
2018-07-31,3012644699.22,419.87
2018-08-01,2894224079.65,411.36
2018-08-02,2966111553.2,417.76
2018-08-03,2452772419.98,407.32
2018-08-04,2386988741.55,409.37
2018-08-05,2400469404.2,405.7
2018-08-06,3066595755.62,378.32
2018-08-07,3145678358.66,355.57
2018-08-08,2899196488.5,364.33
2018-08-09,3020680583.76,332.28
2018-08-10,3238308749.32,318.62
2018-08-11,2676058262.66,318.55
2018-08-12,2835290997.46,284.03
2018-08-13,3529186262.04,278.31
2018-08-14,2983344753.62,281.24
2018-08-15,2441543459.87,286.8
2018-08-16,3147413862.26,317.57
2018-08-17,2653139570.42,294.85
2018-08-18,2386398068.84,300.53
2018-08-19,2215329576.52,271.61
2018-08-20,2134781882.48,281.78
2018-08-21,2512954567.93,270.37
2018-08-22,2117383593.45,276.66
2018-08-23,2643091867.74,282.04
2018-08-24,2199867889.72,278.22
2018-08-25,2502440440.52,274.81
2018-08-26,2778531905.51,287.9
2018-08-27,2870053640.02,296.21
2018-08-28,2799143490.48,289.2
2018-08-29,2963996932.81,284.57
2018-08-30,2679795193.88,282.06
2018-08-31,2641020034.08,295.77
2018-09-01,2489787281.61,295.12
2018-09-02,2624394630.12,289.42
2018-09-03,2651821970.76,285.73
2018-09-04,3079742061.39,228.27
2018-09-05,3306371262.39,229.52
2018-09-06,2554032327.68,215.69
2018-09-07,2409074899.69,197.23
2018-09-08,2542481254.95,195.99
2018-09-09,2393169126.98,197.2
2018-09-10,2426459112.93,185.15
2018-09-11,2951110795.6,183.03
2018-09-12,3605772586.79,211.27
2018-09-13,3386833650.29,208.87
2018-09-14,2574070077.21,221.63
2018-09-15,2256293515.63,220.12
2018-09-16,3081132971.71,196.04
2018-09-17,2871325738.23,208.39
2018-09-18,2515201294.57,209.78
2018-09-19,2769405463.67,224.76
2018-09-20,4373880945.92,247.69
2018-09-21,2911140933.85,240.79
2018-09-22,2604123342.85,244.51
2018-09-23,2790349521.83,228.05
2018-09-24,3529583919.26,219.2
2018-09-25,2550698026.24,214.21
2018-09-26,3085448313.31,229.09
2018-09-27,3030935506.93,221.56
2018-09-28,3020416905.25,231.32
2018-09-29,2670198508.36,232.82
2018-09-30,2344308721.92,230.96
2018-10-01,2333780273.28,225.59
2018-10-02,2550124296.41,220.02
